GarageArea,LotArea,1stFlrSF,BsmtUnfSF,GrLivArea,LotFrontage,BsmtFinSF1,TotalBsmtSF,OpenPorchSF,2ndFlrSF
513,4571,624,624,1344,34.0,0,624,0,720.0
240,8405,1088,0,1529,50.0,0,0,0,441.0
513,4571,624,624,1344,34.0,0,624,0,720.0
513,4571,624,624,1344,34.0,0,624,0,720.0
0,5604,864,396,864,67.0,468,864,0,0.0
0,5604,864,396,864,67.0,468,864,0,0.0
513,4571,624,624,1344,34.0,0,624,0,720.0
513,4571,624,624,1344,34.0,0,624,0,720.0
240,8405,1088,0,1529,50.0,0,0,0,441.0
513,4571,624,624,1344,34.0,0,624,0,720.0
240,8405,1088,0,1529,50.0,0,0,0,441.0
240,8405,1088,0,1529,50.0,0,0,0,441.0
420,7200,1048,0,1048,60.0,0,0,27,0.0
420,7200,1048,0,1048,60.0,0,0,27,0.0
420,7200,1048,0,1048,60.0,0,0,27,0.0
420,7200,1048,0,1048,60.0,0,0,27,0.0
420,7200,1048,0,1048,60.0,0,0,27,0.0
420,7200,1048,0,1048,60.0,0,0,27,0.0
420,7200,1048,0,1048,60.0,0,0,27,0.0
420,7200,1048,0,1048,60.0,0,0,27,0.0
420,7200,1048,0,1048,60.0,0,0,27,0.0
420,7200,1048,0,1048,60.0,0,0,27,0.0
420,7200,1048,0,1048,60.0,0,0,27,0.0
420,7200,1048,0,1048,60.0,0,0,27,0.0
420,7200,1048,0,1048,60.0,0,0,27,0.0
420,7200,1048,0,1048,60.0,0,0,27,0.0
420,7200,1048,0,1048,60.0,0,0,27,0.0
420,7200,1048,0,1048,60.0,0,0,27,0.0
420,7200,1048,0,1048,60.0,0,0,27,0.0
480,8500,1235,635,1235,85.0,600,1235,0,0.0
480,8500,1235,635,1235,85.0,600,1235,0,0.0
480,8500,1235,635,1235,85.0,600,1235,0,0.0
480,8500,1235,635,1235,85.0,600,1235,0,0.0
480,8500,1235,635,1235,85.0,600,1235,0,0.0
480,8500,1235,635,1235,85.0,600,1235,0,0.0
480,8500,1235,635,1235,85.0,600,1235,0,0.0
480,8500,1235,635,1235,85.0,600,1235,0,0.0
480,8500,1235,635,1235,85.0,600,1235,0,0.0
480,8500,1235,635,1235,85.0,600,1235,0,0.0
480,8500,1235,635,1235,85.0,600,1235,0,0.0
480,8500,1235,635,1235,85.0,600,1235,0,0.0
480,8500,1235,635,1235,85.0,600,1235,0,0.0
480,8500,1235,635,1235,85.0,600,1235,0,0.0
480,8500,1235,635,1235,85.0,600,1235,0,0.0
480,8500,1235,635,1235,85.0,600,1235,0,0.0
480,8500,1235,635,1235,85.0,600,1235,0,0.0
264,7892,918,918,918,55.0,0,918,0,0.0
264,7892,918,918,918,55.0,0,918,0,0.0
264,7892,918,918,918,55.0,0,918,0,0.0
264,7892,918,918,918,55.0,0,918,0,0.0
264,7892,918,918,918,55.0,0,918,0,0.0
264,7892,918,918,918,55.0,0,918,0,0.0
264,7892,918,918,918,55.0,0,918,0,0.0
264,7892,918,918,918,55.0,0,918,0,0.0
264,7892,918,918,918,55.0,0,918,0,0.0
264,7892,918,918,918,55.0,0,918,0,0.0
264,7892,918,918,918,55.0,0,918,0,0.0
264,7892,918,918,918,55.0,0,918,0,0.0
264,7892,918,918,918,55.0,0,918,0,0.0
264,7892,918,918,918,55.0,0,918,0,0.0
264,7892,918,918,918,55.0,0,918,0,0.0
264,7892,918,918,918,55.0,0,918,0,0.0
264,7892,918,918,918,55.0,0,918,0,0.0
440,6911,1301,740,1301,60.0,405,1145,0,0.0
273,10800,1047,641,1047,60.0,0,641,0,0.0
264,6060,772,732,1123,50.0,0,732,0,351.0
288,7150,892,460,892,65.0,432,892,0,0.0
288,8877,816,126,816,67.0,690,816,0,0.0
480,8520,968,968,968,60.0,0,968,0,0.0
480,8520,968,968,968,60.0,0,968,0,0.0
440,6911,1301,740,1301,60.0,405,1145,0,0.0
440,6911,1301,740,1301,60.0,405,1145,0,0.0
264,1680,483,153,987,21.0,330,483,0,504.0
462,9842,1224,0,1224,70.0,0,0,0,0.0
462,9842,1224,0,1224,70.0,0,0,0,0.0
462,9842,1224,0,1224,70.0,0,0,0,0.0
462,9842,1224,0,1224,70.0,0,0,0,0.0
462,9842,1224,0,1224,70.0,0,0,0,0.0
462,9842,1224,0,1224,70.0,0,0,0,0.0
462,9842,1224,0,1224,70.0,0,0,0,0.0
462,9842,1224,0,1224,70.0,0,0,0,0.0
462,9842,1224,0,1224,70.0,0,0,0,0.0
462,9842,1224,0,1224,70.0,0,0,0,0.0
462,9842,1224,0,1224,70.0,0,0,0,0.0
462,9842,1224,0,1224,70.0,0,0,0,0.0
462,9842,1224,0,1224,70.0,0,0,0,0.0
462,9842,1224,0,1224,70.0,0,0,0,0.0
462,9842,1224,0,1224,70.0,0,0,0,0.0
462,9842,1224,0,1224,70.0,0,0,0,0.0
462,9842,1224,0,1224,70.0,0,0,0,0.0
0,6000,1008,1008,1522,60.0,0,1008,0,0.0
180,6180,986,960,986,60.0,0,960,128,0.0
180,6180,986,960,986,60.0,0,960,128,0.0
180,6180,986,960,986,60.0,0,960,128,0.0
0,6000,1008,1008,1522,60.0,0,1008,0,0.0
396,8877,1220,0,1220,67.0,836,836,0,0.0
180,6180,986,960,986,60.0,0,960,128,0.0
396,8877,1220,0,1220,67.0,836,836,0,0.0
180,6180,986,960,986,60.0,0,960,128,0.0
180,6180,986,960,986,60.0,0,960,128,0.0
0,6000,1008,1008,1522,60.0,0,1008,0,0.0
396,8877,1220,0,1220,67.0,836,836,0,0.0
0,6000,1008,1008,1522,60.0,0,1008,0,0.0
396,8877,1220,0,1220,67.0,836,836,0,0.0
0,6000,1008,1008,1522,60.0,0,1008,0,0.0
384,8712,859,859,1178,66.0,0,859,0,319.0
384,8712,859,859,1178,66.0,0,859,0,319.0
384,8712,859,859,1178,66.0,0,859,0,319.0
384,8712,859,859,1178,66.0,0,859,0,319.0
384,8712,859,859,1178,66.0,0,859,0,319.0
384,8712,859,859,1178,66.0,0,859,0,319.0
384,8712,859,859,1178,66.0,0,859,0,319.0
384,8712,859,859,1178,66.0,0,859,0,319.0
384,8712,859,859,1178,66.0,0,859,0,319.0
384,8712,859,859,1178,66.0,0,859,0,319.0
384,8712,859,859,1178,66.0,0,859,0,319.0
384,8712,859,859,1178,66.0,0,859,0,319.0
384,8712,859,859,1178,66.0,0,859,0,319.0
384,8712,859,859,1178,66.0,0,859,0,319.0
384,8712,859,859,1178,66.0,0,859,0,319.0
384,8712,859,859,1178,66.0,0,859,0,319.0
384,8712,859,859,1178,66.0,0,859,0,319.0
539,6240,848,628,1208,52.0,152,780,23,0.0
539,6240,848,628,1208,52.0,152,780,23,0.0
539,6240,848,628,1208,52.0,152,780,23,0.0
539,6240,848,628,1208,52.0,152,780,23,0.0
539,6240,848,628,1208,52.0,152,780,23,0.0
539,6240,848,628,1208,52.0,152,780,23,0.0
539,6240,848,628,1208,52.0,152,780,23,0.0
539,6240,848,628,1208,52.0,152,780,23,0.0
539,6240,848,628,1208,52.0,152,780,23,0.0
539,6240,848,628,1208,52.0,152,780,23,0.0
539,6240,848,628,1208,52.0,152,780,23,0.0
539,6240,848,628,1208,52.0,152,780,23,0.0
539,6240,848,628,1208,52.0,152,780,23,0.0
539,6240,848,628,1208,52.0,152,780,23,0.0
539,6240,848,628,1208,52.0,152,780,23,0.0
539,6240,848,628,1208,52.0,152,780,23,0.0
539,6240,848,628,1208,52.0,152,780,23,0.0
0,5500,882,882,882,55.0,0,882,0,0.0
0,5500,882,882,882,55.0,0,882,0,0.0
0,5500,882,882,882,55.0,0,882,0,0.0
0,5500,882,882,882,55.0,0,882,0,0.0
0,5500,882,882,882,55.0,0,882,0,0.0
0,5500,882,882,882,55.0,0,882,0,0.0
0,5500,882,882,882,55.0,0,882,0,0.0
0,5500,882,882,882,55.0,0,882,0,0.0
0,5500,882,882,882,55.0,0,882,0,0.0
0,5500,882,882,882,55.0,0,882,0,0.0
0,5500,882,882,882,55.0,0,882,0,0.0
0,5500,882,882,882,55.0,0,882,0,0.0
0,5500,882,882,882,55.0,0,882,0,0.0
0,5500,882,882,882,55.0,0,882,0,0.0
0,5500,882,882,882,55.0,0,882,0,0.0
0,5500,882,882,882,55.0,0,882,0,0.0
0,5500,882,882,882,55.0,0,882,0,0.0
300,6629,697,121,1369,54.0,551,672,0,672.0
300,6629,697,121,1369,54.0,551,672,0,672.0
300,6629,697,121,1369,54.0,551,672,0,672.0
300,6629,697,121,1369,54.0,551,672,0,672.0
300,6629,697,121,1369,54.0,551,672,0,672.0
300,6629,697,121,1369,54.0,551,672,0,672.0
300,6629,697,121,1369,54.0,551,672,0,672.0
300,6629,697,121,1369,54.0,551,672,0,672.0
300,6629,697,121,1369,54.0,551,672,0,672.0
300,6629,697,121,1369,54.0,551,672,0,672.0
300,6629,697,121,1369,54.0,551,672,0,672.0
300,6629,697,121,1369,54.0,551,672,0,672.0
300,6629,697,121,1369,54.0,551,672,0,672.0
300,6629,697,121,1369,54.0,551,672,0,672.0
300,6629,697,121,1369,54.0,551,672,0,672.0
300,6629,697,121,1369,54.0,551,672,0,672.0
300,6629,697,121,1369,54.0,551,672,0,672.0
392,9738,949,392,1221,60.0,392,784,0,272.0
392,9738,949,392,1221,60.0,392,784,0,272.0
392,9738,949,392,1221,60.0,392,784,0,272.0
392,9738,949,392,1221,60.0,392,784,0,272.0
368,12513,1281,715,1738,69.0,0,715,0,457.0
368,12513,1281,715,1738,69.0,0,715,0,457.0
368,12513,1281,715,1738,69.0,0,715,0,457.0
392,9738,949,392,1221,60.0,392,784,0,272.0
392,9738,949,392,1221,60.0,392,784,0,272.0
368,12513,1281,715,1738,69.0,0,715,0,457.0
368,12513,1281,715,1738,69.0,0,715,0,457.0
368,12513,1281,715,1738,69.0,0,715,0,457.0
392,9738,949,392,1221,60.0,392,784,0,272.0
368,12513,1281,715,1738,69.0,0,715,0,457.0
392,9738,949,392,1221,60.0,392,784,0,272.0
368,12513,1281,715,1738,69.0,0,715,0,457.0
280,9060,698,356,1258,60.0,204,560,0,560.0
180,6120,875,506,875,51.0,209,715,0,0.0
180,6120,875,506,875,51.0,209,715,0,0.0
338,5400,840,420,1374,90.0,315,840,0,534.0
240,9492,968,359,1376,79.0,368,768,0,408.0
338,5400,840,420,1374,90.0,315,840,0,534.0
280,9060,698,356,1258,60.0,204,560,0,560.0
280,9060,698,356,1258,60.0,204,560,0,560.0
180,6120,875,506,875,51.0,209,715,0,0.0
280,9060,698,356,1258,60.0,204,560,0,560.0
180,6120,875,506,875,51.0,209,715,0,0.0
280,9060,698,356,1258,60.0,204,560,0,560.0
280,9060,698,356,1258,60.0,204,560,0,560.0
338,5400,840,420,1374,90.0,315,840,0,534.0
528,7227,832,832,832,59.0,0,832,0,0.0
528,7227,832,832,832,59.0,0,832,0,0.0
528,7227,832,832,832,59.0,0,832,0,0.0
528,7227,832,832,832,59.0,0,832,0,0.0
528,7227,832,832,832,59.0,0,832,0,0.0
528,7227,832,832,832,59.0,0,832,0,0.0
528,7227,832,832,832,59.0,0,832,0,0.0
528,7227,832,832,832,59.0,0,832,0,0.0
528,7227,832,832,832,59.0,0,832,0,0.0
528,7227,832,832,832,59.0,0,832,0,0.0
528,7227,832,832,832,59.0,0,832,0,0.0
528,7227,832,832,832,59.0,0,832,0,0.0
528,7227,832,832,832,59.0,0,832,0,0.0
528,7227,832,832,832,59.0,0,832,0,0.0
528,7227,832,832,832,59.0,0,832,0,0.0
528,7227,832,832,832,59.0,0,832,0,0.0
528,7227,832,832,832,59.0,0,832,0,0.0
360,8100,1075,849,2138,90.0,0,849,156,1063.0
360,8100,1075,849,2138,90.0,0,849,156,1063.0
360,8100,1075,849,2138,90.0,0,849,156,1063.0
360,8100,1075,849,2138,90.0,0,849,156,1063.0
360,8100,1075,849,2138,90.0,0,849,156,1063.0
360,8100,1075,849,2138,90.0,0,849,156,1063.0
360,8100,1075,849,2138,90.0,0,849,156,1063.0
360,8100,1075,849,2138,90.0,0,849,156,1063.0
360,8100,1075,849,2138,90.0,0,849,156,1063.0
440,2016,630,630,1302,24.0,0,630,0,672.0
360,8100,1075,849,2138,90.0,0,849,156,1063.0
440,2016,630,630,1302,24.0,0,630,0,672.0
440,2016,630,630,1302,24.0,0,630,0,672.0
360,8100,1075,849,2138,90.0,0,849,156,1063.0
440,2016,630,630,1302,24.0,0,630,0,672.0
440,2016,630,630,1302,24.0,0,630,0,672.0
294,8339,882,0,882,69.0,0,0,0,0.0
294,8339,882,0,882,69.0,0,0,0,0.0
294,8339,882,0,882,69.0,0,0,0,0.0
294,8339,882,0,882,69.0,0,0,0,0.0
294,8339,882,0,882,69.0,0,0,0,0.0
294,8339,882,0,882,69.0,0,0,0,0.0
294,8339,882,0,882,69.0,0,0,0,0.0
294,8339,882,0,882,69.0,0,0,0,0.0
294,8339,882,0,882,69.0,0,0,0,0.0
294,8339,882,0,882,69.0,0,0,0,0.0
294,8339,882,0,882,69.0,0,0,0,0.0
294,8339,882,0,882,69.0,0,0,0,0.0
294,8339,882,0,882,69.0,0,0,0,0.0
294,8339,882,0,882,69.0,0,0,0,0.0
294,8339,882,0,882,69.0,0,0,0,0.0
294,8339,882,0,882,69.0,0,0,0,0.0
294,8339,882,0,882,69.0,0,0,0,0.0
672,7819,1117,480,1117,94.0,422,1029,0,0.0
210,9906,810,686,1328,57.0,0,686,172,518.0
210,9906,810,686,1328,57.0,0,686,172,518.0
672,7819,1117,480,1117,94.0,422,1029,0,0.0
210,9906,810,686,1328,57.0,0,686,172,518.0
210,9906,810,686,1328,57.0,0,686,172,518.0
672,7819,1117,480,1117,94.0,422,1029,0,0.0
384,8900,1056,0,1056,69.0,1056,1056,42,0.0
384,8900,1056,0,1056,69.0,1056,1056,42,0.0
210,9906,810,686,1328,57.0,0,686,172,518.0
384,8900,1056,0,1056,69.0,1056,1056,42,0.0
672,7819,1117,480,1117,94.0,422,1029,0,0.0
672,7819,1117,480,1117,94.0,422,1029,0,0.0
384,8900,1056,0,1056,69.0,1056,1056,42,0.0
672,7819,1117,480,1117,94.0,422,1029,0,0.0
379,5790,840,840,1605,60.0,0,840,0,765.0
379,5790,840,840,1605,60.0,0,840,0,765.0
379,5790,840,840,1605,60.0,0,840,0,765.0
379,5790,840,840,1605,60.0,0,840,0,765.0
379,5790,840,840,1605,60.0,0,840,0,765.0
379,5790,840,840,1605,60.0,0,840,0,765.0
379,5790,840,840,1605,60.0,0,840,0,765.0
379,5790,840,840,1605,60.0,0,840,0,765.0
379,5790,840,840,1605,60.0,0,840,0,765.0
379,5790,840,840,1605,60.0,0,840,0,765.0
379,5790,840,840,1605,60.0,0,840,0,765.0
379,5790,840,840,1605,60.0,0,840,0,765.0
379,5790,840,840,1605,60.0,0,840,0,765.0
379,5790,840,840,1605,60.0,0,840,0,765.0
379,5790,840,840,1605,60.0,0,840,0,765.0
379,5790,840,840,1605,60.0,0,840,0,765.0
379,5790,840,840,1605,60.0,0,840,0,765.0
432,6600,1378,994,2372,60.0,0,994,287,994.0
392,7200,827,0,827,60.0,0,0,0,0.0
432,6600,1378,994,2372,60.0,0,994,287,994.0
392,7200,827,0,827,60.0,0,0,0,0.0
432,6600,1378,994,2372,60.0,0,994,287,994.0
392,7200,827,0,827,60.0,0,0,0,0.0
392,7200,827,0,827,60.0,0,0,0,0.0
432,6600,1378,994,2372,60.0,0,994,287,994.0
432,6600,1378,994,2372,60.0,0,994,287,994.0
432,6600,1378,994,2372,60.0,0,994,287,994.0
392,7200,827,0,827,60.0,0,0,0,0.0
392,7200,827,0,827,60.0,0,0,0,0.0
392,7200,827,0,827,60.0,0,0,0,0.0
432,6600,1378,994,2372,60.0,0,994,287,994.0
432,6600,1378,994,2372,60.0,0,994,287,994.0
392,7200,827,0,827,60.0,0,0,0,0.0
240,10200,672,672,672,60.0,0,672,0,0.0
0,13907,996,706,996,63.0,290,996,0,0.0
300,8978,948,948,948,69.0,0,948,0,0.0
240,10200,672,672,672,60.0,0,672,0,0.0
0,13907,996,706,996,63.0,290,996,0,0.0
240,10200,672,672,672,60.0,0,672,0,0.0
300,8978,948,948,948,69.0,0,948,0,0.0
0,13907,996,706,996,63.0,290,996,0,0.0
520,8777,1126,0,1126,67.0,0,0,96,0.0
0,13907,996,706,996,63.0,290,996,0,0.0
520,8777,1126,0,1126,67.0,0,0,96,0.0
240,10200,672,672,672,60.0,0,672,0,0.0
520,8777,1126,0,1126,67.0,0,0,96,0.0
520,8777,1126,0,1126,67.0,0,0,96,0.0
326,5400,1073,1073,1073,60.0,0,1073,0,0.0
326,5400,1073,1073,1073,60.0,0,1073,0,0.0
326,5400,1073,1073,1073,60.0,0,1073,0,0.0
326,5400,1073,1073,1073,60.0,0,1073,0,0.0
326,5400,1073,1073,1073,60.0,0,1073,0,0.0
326,5400,1073,1073,1073,60.0,0,1073,0,0.0
326,5400,1073,1073,1073,60.0,0,1073,0,0.0
326,5400,1073,1073,1073,60.0,0,1073,0,0.0
326,5400,1073,1073,1073,60.0,0,1073,0,0.0
326,5400,1073,1073,1073,60.0,0,1073,0,0.0
326,5400,1073,1073,1073,60.0,0,1073,0,0.0
326,5400,1073,1073,1073,60.0,0,1073,0,0.0
326,5400,1073,1073,1073,60.0,0,1073,0,0.0
326,5400,1073,1073,1073,60.0,0,1073,0,0.0
326,5400,1073,1073,1073,60.0,0,1073,0,0.0
326,5400,1073,1073,1073,60.0,0,1073,0,0.0
326,5400,1073,1073,1073,60.0,0,1073,0,0.0
308,6000,960,710,960,50.0,250,960,0,0.0
308,6000,960,710,960,50.0,250,960,0,0.0
308,6000,960,710,960,50.0,250,960,0,0.0
308,6000,960,710,960,50.0,250,960,0,0.0
308,6000,960,710,960,50.0,250,960,0,0.0
308,6000,960,710,960,50.0,250,960,0,0.0
308,6000,960,710,960,50.0,250,960,0,0.0
308,6000,960,710,960,50.0,250,960,0,0.0
308,6000,960,710,960,50.0,250,960,0,0.0
308,6000,960,710,960,50.0,250,960,0,0.0
308,6000,960,710,960,50.0,250,960,0,0.0
308,6000,960,710,960,50.0,250,960,0,0.0
308,6000,960,710,960,50.0,250,960,0,0.0
308,6000,960,710,960,50.0,250,960,0,0.0
308,6000,960,710,960,50.0,250,960,0,0.0
308,6000,960,710,960,50.0,250,960,0,0.0
308,6000,960,710,960,50.0,250,960,0,0.0
246,7922,1057,326,1057,68.0,731,1057,52,0.0
246,7922,1057,326,1057,68.0,731,1057,52,0.0
240,10134,735,735,1034,60.0,0,735,39,299.0
246,7922,1057,326,1057,68.0,731,1057,52,0.0
240,10134,735,735,1034,60.0,0,735,39,299.0
246,7922,1057,326,1057,68.0,731,1057,52,0.0
240,10134,735,735,1034,60.0,0,735,39,299.0
246,7922,1057,326,1057,68.0,731,1057,52,0.0
246,7922,1057,326,1057,68.0,731,1057,52,0.0
246,7922,1057,326,1057,68.0,731,1057,52,0.0
246,7922,1057,326,1057,68.0,731,1057,52,0.0
240,10134,735,735,1034,60.0,0,735,39,299.0
240,10134,735,735,1034,60.0,0,735,39,299.0
246,7922,1057,326,1057,68.0,731,1057,52,0.0
240,10134,735,735,1034,60.0,0,735,39,299.0
246,7922,1057,326,1057,68.0,731,1057,52,0.0
352,8593,907,619,907,77.0,288,907,0,0.0
352,8593,907,619,907,77.0,288,907,0,0.0
352,8593,907,619,907,77.0,288,907,0,0.0
352,8593,907,619,907,77.0,288,907,0,0.0
352,8593,907,619,907,77.0,288,907,0,0.0
352,8593,907,619,907,77.0,288,907,0,0.0
352,8593,907,619,907,77.0,288,907,0,0.0
352,8593,907,619,907,77.0,288,907,0,0.0
352,8593,907,619,907,77.0,288,907,0,0.0
352,8593,907,619,907,77.0,288,907,0,0.0
352,8593,907,619,907,77.0,288,907,0,0.0
352,8593,907,619,907,77.0,288,907,0,0.0
352,8593,907,619,907,77.0,288,907,0,0.0
352,8593,907,619,907,77.0,288,907,0,0.0
352,8593,907,619,907,77.0,288,907,0,0.0
352,8593,907,619,907,77.0,288,907,0,0.0
352,8593,907,619,907,77.0,288,907,0,0.0
625,7200,1040,0,1040,60.0,0,0,0,0.0
308,6600,894,894,894,60.0,0,894,0,0.0
625,7200,1040,0,1040,60.0,0,0,0,0.0
240,9022,792,768,792,52.0,0,768,0,0.0
308,6600,894,894,894,60.0,0,894,0,0.0
308,6600,894,894,894,60.0,0,894,0,0.0
308,6600,894,894,894,60.0,0,894,0,0.0
240,9022,792,768,792,52.0,0,768,0,0.0
625,7200,1040,0,1040,60.0,0,0,0,0.0
308,6600,894,894,894,60.0,0,894,0,0.0
308,6600,894,894,894,60.0,0,894,0,0.0
308,6600,894,894,894,60.0,0,894,0,0.0
308,6600,894,894,894,60.0,0,894,0,0.0
625,7200,1040,0,1040,60.0,0,0,0,0.0
240,9022,792,768,792,52.0,0,768,0,0.0
408,7162,904,876,904,69.0,0,876,0,0.0
420,7200,1040,0,1040,60.0,0,0,29,0.0
440,4800,1196,999,1196,40.0,197,1196,0,0.0
420,7200,1040,0,1040,60.0,0,0,29,0.0
420,7200,1040,0,1040,60.0,0,0,29,0.0
420,7200,1040,0,1040,60.0,0,0,29,0.0
420,7200,1040,0,1040,60.0,0,0,29,0.0
420,7200,1040,0,1040,60.0,0,0,29,0.0
420,7200,1040,0,1040,60.0,0,0,29,0.0
408,7162,904,876,904,69.0,0,876,0,0.0
408,7162,904,876,904,69.0,0,876,0,0.0
420,7200,1040,0,1040,60.0,0,0,29,0.0
420,7200,1040,0,1040,60.0,0,0,29,0.0
420,7200,1040,0,1040,60.0,0,0,29,0.0
408,7162,904,876,904,69.0,0,876,0,0.0
684,7340,858,536,858,69.0,322,858,0,0.0
264,9477,892,524,892,69.0,340,864,0,0.0
684,7340,858,536,858,69.0,322,858,0,0.0
400,9450,894,342,894,68.0,552,894,0,0.0
440,10440,682,440,1230,60.0,0,440,0,548.0
400,9450,894,342,894,68.0,552,894,0,0.0
270,5684,813,813,813,70.0,0,813,113,0.0
684,7340,858,536,858,69.0,322,858,0,0.0
264,9477,892,524,892,69.0,340,864,0,0.0
280,7990,924,924,924,88.0,0,924,0,0.0
440,6000,1103,706,1103,50.0,397,1103,120,0.0
440,6000,1103,706,1103,50.0,397,1103,120,0.0
440,6000,1103,706,1103,50.0,397,1103,120,0.0
440,6000,1103,706,1103,50.0,397,1103,120,0.0
440,6000,1103,706,1103,50.0,397,1103,120,0.0
440,6000,1103,706,1103,50.0,397,1103,120,0.0
440,6000,1103,706,1103,50.0,397,1103,120,0.0
440,6000,1103,706,1103,50.0,397,1103,120,0.0
440,6000,1103,706,1103,50.0,397,1103,120,0.0
440,6000,1103,706,1103,50.0,397,1103,120,0.0
440,6000,1103,706,1103,50.0,397,1103,120,0.0
440,6000,1103,706,1103,50.0,397,1103,120,0.0
440,6000,1103,706,1103,50.0,397,1103,120,0.0
440,6000,1103,706,1103,50.0,397,1103,120,0.0
440,6000,1103,706,1103,50.0,397,1103,120,0.0
440,6000,1103,706,1103,50.0,397,1103,120,0.0
440,6000,1103,706,1103,50.0,397,1103,120,0.0
248,10215,948,372,948,75.0,492,864,0,0.0
248,10215,948,372,948,75.0,492,864,0,0.0
248,10215,948,372,948,75.0,492,864,0,0.0
248,10215,948,372,948,75.0,492,864,0,0.0
248,10215,948,372,948,75.0,492,864,0,0.0
248,10215,948,372,948,75.0,492,864,0,0.0
248,10215,948,372,948,75.0,492,864,0,0.0
248,10215,948,372,948,75.0,492,864,0,0.0
248,10215,948,372,948,75.0,492,864,0,0.0
248,10215,948,372,948,75.0,492,864,0,0.0
248,10215,948,372,948,75.0,492,864,0,0.0
248,10215,948,372,948,75.0,492,864,0,0.0
248,10215,948,372,948,75.0,492,864,0,0.0
248,10215,948,372,948,75.0,492,864,0,0.0
248,10215,948,372,948,75.0,492,864,0,0.0
248,10215,948,372,948,75.0,492,864,0,0.0
248,10215,948,372,948,75.0,492,864,0,0.0
576,12735,864,264,864,69.0,600,864,0,0.0
576,12735,864,264,864,69.0,600,864,0,0.0
576,12735,864,264,864,69.0,600,864,0,0.0
576,12735,864,264,864,69.0,600,864,0,0.0
576,12735,864,264,864,69.0,600,864,0,0.0
576,12735,864,264,864,69.0,600,864,0,0.0
576,12735,864,264,864,69.0,600,864,0,0.0
576,12735,864,264,864,69.0,600,864,0,0.0
576,12735,864,264,864,69.0,600,864,0,0.0
576,12735,864,264,864,69.0,600,864,0,0.0
576,12735,864,264,864,69.0,600,864,0,0.0
576,12735,864,264,864,69.0,600,864,0,0.0
576,12735,864,264,864,69.0,600,864,0,0.0
576,12735,864,264,864,69.0,600,864,0,0.0
576,12735,864,264,864,69.0,600,864,0,0.0
576,12735,864,264,864,69.0,600,864,0,0.0
576,12735,864,264,864,69.0,600,864,0,0.0
0,8780,833,208,833,69.0,625,833,0,0.0
280,1680,630,630,1302,21.0,0,630,0,672.0
539,8930,1318,0,1902,68.0,0,0,0,584.0
539,8930,1318,0,1902,68.0,0,0,0,584.0
539,8930,1318,0,1902,68.0,0,0,0,584.0
384,11767,796,560,1346,70.0,0,560,24,550.0
384,11767,796,560,1346,70.0,0,560,24,550.0
0,8780,833,208,833,69.0,625,833,0,0.0
384,11767,796,560,1346,70.0,0,560,24,550.0
576,25339,1416,816,1416,69.0,0,816,0,0.0
576,25339,1416,816,1416,69.0,0,816,0,0.0
539,8930,1318,0,1902,68.0,0,0,0,584.0
280,1680,630,630,1302,21.0,0,630,0,672.0
288,6000,928,620,928,50.0,308,928,0,0.0
288,6000,928,620,928,50.0,308,928,0,0.0
288,6000,928,620,928,50.0,308,928,0,0.0
288,6000,928,620,928,50.0,308,928,0,0.0
288,6000,928,620,928,50.0,308,928,0,0.0
288,6000,928,620,928,50.0,308,928,0,0.0
288,6000,928,620,928,50.0,308,928,0,0.0
288,6000,928,620,928,50.0,308,928,0,0.0
288,6000,928,620,928,50.0,308,928,0,0.0
288,6000,928,620,928,50.0,308,928,0,0.0
288,6000,928,620,928,50.0,308,928,0,0.0
288,6000,928,620,928,50.0,308,928,0,0.0
288,6000,928,620,928,50.0,308,928,0,0.0
288,6000,928,620,928,50.0,308,928,0,0.0
288,6000,928,620,928,50.0,308,928,0,0.0
288,6000,928,620,928,50.0,308,928,0,0.0
288,6000,928,620,928,50.0,308,928,0,0.0
280,6380,1048,993,1048,58.0,0,993,0,0.0
234,9340,672,328,672,50.0,344,672,113,0.0
234,9340,672,328,672,50.0,344,672,113,0.0
234,9340,672,328,672,50.0,344,672,113,0.0
280,6380,1048,993,1048,58.0,0,993,0,0.0
0,4456,736,736,1452,33.0,0,736,0,716.0
220,8741,798,641,1487,52.0,94,735,140,0.0
0,4456,736,736,1452,33.0,0,736,0,716.0
0,4456,736,736,1452,33.0,0,736,0,716.0
220,8741,798,641,1487,52.0,94,735,140,0.0
234,9340,672,328,672,50.0,344,672,113,0.0
234,9340,672,328,672,50.0,344,672,113,0.0
280,6380,1048,993,1048,58.0,0,993,0,0.0
275,10150,912,456,912,70.0,456,912,0,0.0
275,10150,912,456,912,70.0,456,912,0,0.0
528,6240,816,816,1176,52.0,0,816,0,0.0
528,6240,816,816,1176,52.0,0,816,0,0.0
275,10150,912,456,912,70.0,456,912,0,0.0
528,6240,816,816,1176,52.0,0,816,0,0.0
275,10150,912,456,912,70.0,456,912,0,0.0
275,10150,912,456,912,70.0,456,912,0,0.0
275,10150,912,456,912,70.0,456,912,0,0.0
528,6240,816,816,1176,52.0,0,816,0,0.0
528,6240,816,816,1176,52.0,0,816,0,0.0
275,10150,912,456,912,70.0,456,912,0,0.0
528,6240,816,816,1176,52.0,0,816,0,0.0
275,10150,912,456,912,70.0,456,912,0,0.0
528,6240,816,816,1176,52.0,0,816,0,0.0
275,10150,912,456,912,70.0,456,912,0,0.0
